0, 0, 8, 12, -1, -1, -1, -1
1, 0.296382, 8, 12, -1, -1, -1, -1
2, 0.0253818, 351, 1344, -1, -1, -1, -1
3, 1.79777, 1509, 7248, 48.3085, 6.8796, 0, -1
7, 0.781739, 1099, 5232, 21.5096, 4.91727, -1, -1
6, 0.0689368, 10620, 49454, 24.3027, 4.29384, -1, -1
7, 0.563046, 4618, 22950, 8.5202, 3.69953, -1, -1
8, 0.139195, 4618, 22992, 8.5202, 3.67345, -1, -1
9, 1.06113, 4618, 22992, 6.29996, 3.57886, -1, -1
7, 0.471804, 4182, 20857, 6.23521, 3.54855, -1, -1
4, 3.14592, 4182, 20857, 6.23521, 3.54855, -1, -1
5, 0.0997369, 2693, 12988, 6.18157, 3.39661, -1, -1
-1, 5.36519, 2693, 12988, 6.18157, 3.39661, 0, 402
