0, 0, 26623, 53242, -1, -1, -1, -1
1, 79.2308, 98, 192, -1, -1, -1, -1
2, 0.0150188, 441, 1957, -1, -1, -1, -1
3, 3.08464, 1121, 5220, 106.155, 6.21096, 0, -1
7, 0.939229, 921, 4280, 40.9259, 4.99605, -1, -1
6, 0.0547269, 11046, 52249, 41.6682, 4.38087, -1, -1
7, 2.34925, 4735, 23858, 11.4297, 3.77897, -1, -1
8, 0.128844, 4735, 23785, 11.2755, 3.74878, -1, -1
9, 2.30559, 4735, 23785, 10.1271, 3.60458, -1, -1
6, 0.0272051, 7092, 34181, 10.4385, 3.76563, -1, -1
7, 1.57404, 4810, 24053, 7.14935, 3.58541, -1, -1
8, 0.127703, 4810, 24021, 6.10387, 3.58126, -1, -1
9, 2.23605, 4810, 24021, 6.023, 3.52458, -1, -1
7, 0.25536, 4599, 23041, 5.94566, 3.51425, -1, -1
4, 10.0796, 4599, 23041, 5.94566, 3.51425, -1, -1
5, 0.0758641, 2830, 13698, 5.03012, 3.35442, -1, -1
-1, 92.4859, 2830, 13698, 5.03012, 3.35442, 0, 386
